Vf,theta,F,tip_deflection,max_stress
0.3,0.0,500.0,3.950528799044299e-05,689363.3042099533
0.3,0.0,1000.0,7.901057598088598e-05,1378726.6084199066
0.3,0.0,1500.0,0.00011851586397132897,2068089.91262986
0.3,0.0,2000.0,0.00015802115196177197,2757453.216839813
0.3,0.0,2500.0,0.00019752643995221483,3446816.521049767
0.3,0.0,3000.0,0.00023703172794265794,4136179.82525972
0.3,0.0,3500.0,0.0002765370159331006,4825543.129469669
0.3,0.0,4000.0,0.00031604230392354393,5514906.433679626
0.3,0.0,4500.0,0.0003555475919139867,6204269.737889574
0.3,0.0,5000.0,0.00039505287990442966,6893633.042099534
0.3,10.0,500.0,4.6741463564361714e-05,726605.4025157731
0.3,10.0,1000.0,9.348292712872343e-05,1453210.8050315462
0.3,10.0,1500.0,0.0001402243906930852,2179816.2075473205
0.3,10.0,2000.0,0.00018696585425744685,2906421.6100630923
0.3,10.0,2500.0,0.00023370731782180887,3633027.012578865
0.3,10.0,3000.0,0.0002804487813861704,4359632.415094641
0.3,10.0,3500.0,0.0003271902449505321,5086237.817610416
0.3,10.0,4000.0,0.0003739317085148937,5812843.220126185
0.3,10.0,4500.0,0.00042067317207925535,6539448.622641959
0.3,10.0,5000.0,0.00046741463564361775,7266054.02515773
0.3,20.0,500.0,6.761097674871015e-05,736566.0437410407
0.3,20.0,1000.0,0.0001352219534974203,1473132.0874820815
0.3,20.0,1500.0,0.0002028329302461309,2209698.1312231245
0.3,20.0,2000.0,0.0002704439069948406,2946264.174964163
0.3,20.0,2500.0,0.0003380548837435512,3682830.218705209
0.3,20.0,3000.0,0.0004056658604922618,4419396.262446249
0.3,20.0,3500.0,0.00047327683724097237,5155962.306187289
0.3,20.0,4000.0,0.0005408878139896812,5892528.349928326
0.3,20.0,4500.0,0.0006084987907383931,6629094.3936693715
0.3,20.0,5000.0,0.0006761097674871024,7365660.437410418
0.3,30.0,500.0,9.753917960838428e-05,678784.6857279002
0.3,30.0,1000.0,0.00019507835921676856,1357569.3714558005
0.3,30.0,1500.0,0.000292617538825154,2036354.0571836997
0.3,30.0,2000.0,0.0003901567184335371,2715138.742911601
0.3,30.0,2500.0,0.0004876958980419214,3393923.428639503
0.3,30.0,3000.0,0.000585235077650308,4072708.1143673994
0.3,30.0,3500.0,0.0006827742572586887,4751492.800095301
0.3,30.0,4000.0,0.0007803134368670742,5430277.485823202
0.3,30.0,4500.0,0.0008778526164754588,6109062.171551099
0.3,30.0,5000.0,0.0009753917960838428,6787846.857279006
0.3,40.0,500.0,0.00012800858812891524,560737.9427500688
0.3,40.0,1000.0,0.0002560171762578305,1121475.8855001377
0.3,40.0,1500.0,0.00038402576438674826,1682213.8282502075
0.3,40.0,2000.0,0.000512034352515661,2242951.7710002754
0.3,40.0,2500.0,0.000640042940644577,2803689.7137503442
0.3,40.0,3000.0,0.0007680515287734965,3364427.656500415
0.3,40.0,3500.0,0.0008960601169024107,3925165.599250491
0.3,40.0,4000.0,0.001024068705031322,4485903.542000551
